CODIGO,PRODUCTO,CATEGORIA,COMPRA,VENTA
EI001,Cobre 1ra,COBRE,1200,1400
EI002,Cobre 2da,COBRE,950,1000
EI003,Bronce ,BRONCE,780,100
EI004,Bronce Trafilado,BRONCE,580,100
EI005,Estanado,BRONCE,100,100
EI006,Aluminio,ALUMINIO,100,100
EI007,Aluminio Karter,ALUMINIO,100,100
EI008,Perfil,ALUMINIO,100,100
EI009,Plomo,OTRO,100,100
EI010,Pasta,OTRO,100,100
EI011,Zinc,OTRO,100,100
EI012,Latitas,ALUMINIO,100,100
EI013,Baterias,BATERIAS,100,100
EI014,Radiadores,BRONCE,100,100
EI015,Radiador de Aluminio,ALUMINIO,100,100
EI016,Acero Inoxidable,OTRO,100,100
EI017,Bochas de Heladera,OTRO,100,100
EI018,Bateria con Agua,BATERIAS,100,100
EI019,Bateria Gel,BATERIAS,100,100
EI020,Motores,OTRO,100,100
EI021,Mixto,OTRO,100,100
EI022,Carton,PAPEL,100,100
EI023,Papel Blanco,PAPEL,100,100
EI024,Diario / Revista,PAPEL,100,100
EI025,Chatarra,OTRO,100,100
EI026,Fundicion,OTRO,100,100
EI027,Pet Cristal,PLASTICO,100,100
EI028,Pet Verde,PLASTICO,100,100
EI029,Plastico Duro,PLASTICO,100,100
EI030,Plastico Blando,PLASTICO,100,100
EI031,Cable sin quemar,COBRE,100,100
EI032,Escoria cobre,COBRE,100,100
EI033,Nahilon,PLASTICO,100,100
EI034,Plastico TV,PLASTICO,100,100
EI035,radiografia,OTRO,100,100
EI036,Cable aluminio,ALUMINIO,100,100